1,2
1,23
1,26
1,27
1,28
1,29
1,30
1,33
1,35
1,36
1,39
1,46
1,52
1,61
1,98
1,100
1,169
1,198
1,202
1,204
1,206
1,208
1,215
1,218
1,219
1,223
1,230
2,23
2,74
2,78
2,100
2,112
2,198
2,202
2,204
2,208
2,215
2,218
2,219
2,223
2,225
2,230
3,32
3,36
3,44
3,61
3,181
3,199
3,222
3,224
4,26
4,27
4,28
4,30
4,31
4,33
4,35
4,36
4,39
4,45
4,87
4,221
4,227
5,20
5,24
5,26
5,27
5,30
5,31
5,39
5,51
5,69
5,78
5,228
6,26
6,27
6,32
6,33
6,41
6,44
6,46
6,49
6,59
6,132
7,26
7,27
7,29
7,30
7,31
7,32
7,33
7,36
7,39
7,42
7,49
7,58
7,77
8,29
8,32
8,33
8,34
8,35
8,36
8,37
8,38
8,39
8,40
8,53
8,80
8,228
9,25
9,26
9,27
9,28
9,29
9,30
9,32
9,33
9,34
9,38
9,39
9,43
9,45
9,51
10,12
10,24
10,27
10,28
10,30
10,31
10,33
10,36
10,37
10,38
10,41
10,54
10,56
11,26
11,29
11,32
11,33
11,34
11,35
11,39
11,50
11,51
11,56
11,229
11,230
12,20
12,25
12,27
12,28
12,29
12,30
12,36
12,38
12,39
12,40
12,45
12,56
12,76
12,154
13,24
13,25
13,27
13,29
13,36
13,37
13,38
13,39
13,41
13,44
13,47
13,49
13,52
13,72
14,28
14,29
14,30
14,31
14,33
14,35
14,38
14,39
14,42
14,44
14,45
14,54
14,58
14,59
14,73
14,77
15,23
15,24
15,26
15,27
15,28
15,29
15,32
15,33
15,35
15,39
15,66
15,70
15,76
15,229
16,25
16,26
16,29
16,30
16,32
16,34
16,35
16,36
16,37
16,38
16,40
16,49
16,51
16,53
16,55
17,26
17,27
17,28
17,29
17,30
17,32
17,33
17,35
17,37
17,38
17,39
17,44
17,45
17,47
17,53
17,58
17,59
17,62
17,65
17,67
17,73
17,77
18,21
18,24
18,25
18,26
18,27
18,29
18,30
18,32
18,33
18,34
18,35
18,36
18,37
18,38
18,40
18,41
18,43
18,44
18,48
18,49
18,51
18,52
18,53
18,54
18,55
18,61
18,65
18,67
18,68
18,172
18,213
18,225
18,227
19,20
19,21
19,24
19,25
19,26
19,27
19,28
19,29
19,30
19,32
19,34
19,35
19,36
19,37
19,38
19,39
19,40
19,41
19,49
19,52
19,53
19,62
19,115
20,21
20,22
20,23
20,24
20,25
20,26
20,27
20,28
20,29
20,30
20,31
20,32
20,33
20,34
20,35
20,36
20,37
20,39
20,41
20,42
20,43
20,44
20,45
20,49
20,52
20,54
20,58
20,59
20,61
20,73
20,77
20,93
20,227
21,22
21,23
21,25
21,26
21,27
21,28
21,29
21,30
21,31
21,34
21,36
21,37
21,39
21,42
21,60
21,62
22,24
22,25
22,26
22,27
22,28
22,29
22,30
22,32
22,33
22,34
22,35
22,36
22,37
22,38
22,40
22,41
22,43
22,47
22,51
22,53
22,55
22,57
22,60
22,62
22,71
22,83
23,24
23,25
23,27
23,28
23,29
23,33
23,35
23,37
23,38
23,39
23,43
23,44
23,45
23,47
23,50
23,52
23,56
23,57
23,58
23,66
23,76
23,86
23,91
23,102
23,164
23,226
23,227
23,229
23,230
24,25
24,26
24,27
24,28
24,29
24,30
24,34
24,36
24,37
24,39
24,40
24,43
24,47
24,48
24,50
24,51
24,52
24,54
24,58
24,60
24,61
24,63
24,76
25,27
25,28
25,30
25,33
25,37
25,39
25,42
25,47
25,58
25,60
25,62
25,75
26,51
26,56
26,78
26,226
26,229
26,230
27,230
28,230
29,230
30,230
39,230
48,60
50,62
50,228
51,75
51,227
52,88
52,98
52,174
52,224
56,78
56,218
56,225
60,76
60,227
64,227
66,70
66,76
66,229
70,76
74,89
74,230
75,227
76,225
78,230
79,81
79,95
81,95
82,229
83,88
83,117
83,221
83,228
83,229
84,109
85,229
88,106
88,168
88,226
89,100
90,114
92,94
92,221
94,221
95,99
95,229
96,102
97,108
97,221
98,106
98,230
100,229
100,230
101,105
101,135
101,146
101,229
102,115
102,130
102,144
103,104
103,127
103,226
105,135
105,146
107,126
107,165
107,227
107,228
109,229
110,111
110,127
112,184
112,229
113,114
114,130
114,173
116,122
117,123
117,129
118,228
119,222
120,121
120,138
120,156
121,221
122,132
122,201
122,213
122,221
122,229
122,230
124,140
125,177
128,140
128,171
130,132
130,229
131,175
132,162
132,170
133,154
134,145
134,157
134,229
135,159
136,158
136,192
137,229
139,225
139,227
140,161
141,228
142,150
143,228
145,229
147,224
148,201
149,186
149,216
150,166
150,221
151,228
152,164
152,226
153,228
155,230
157,229
158,192
159,175
160,229
163,229
164,222
167,197
169,230
170,192
170,221
170,229
171,229
172,197
172,227
176,225
177,225
178,223
179,216
180,187
180,224
181,199
181,224
182,211
183,229
185,228
186,216
187,224
188,221
189,222
189,224
190,230
191,225
192,225
192,226
193,228
194,228
195,228
196,221
197,211
197,229
198,230
199,222
199,224
200,203
200,205
200,207
200,210
200,217
200,220
200,222
201,209
201,212
201,221
201,225
201,227
202,208
202,219
202,223
202,230
203,205
203,217
203,222
204,215
204,218
204,219
204,230
205,207
205,210
205,217
205,220
205,222
206,222
206,224
206,230
207,217
207,220
207,222
208,219
208,230
209,212
210,217
210,220
210,222
211,213
211,214
211,225
211,227
211,229
213,216
213,226
213,227
213,229
214,216
214,221
214,225
214,227
215,218
215,230
216,225
217,220
217,222
217,224
218,225
218,226
218,230
219,223
219,230
220,222
222,224
222,226
223,230
224,226
224,229
225,226
225,227
225,229
225,230
226,228
227,229
